location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",14.740000009536743,"µg/m³","2025-06-29T18:00:00Z","2025-06-29T23:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",12.53737497329712,"µg/m³","2025-06-29T19:00:00Z","2025-06-30T00:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",9.748000065485636,"µg/m³","2025-06-29T20:00:00Z","2025-06-30T01:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",9.497125029563904,"µg/m³","2025-06-29T21:00:00Z","2025-06-30T02:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",5.219874958197276,"µg/m³","2025-06-29T22:00:00Z","2025-06-30T03:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",5.451722304026286,"µg/m³","2025-06-29T23:00:00Z","2025-06-30T04:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",5.658900022506714,"µg/m³","2025-06-30T00:00:00Z","2025-06-30T05:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",6.464833378791809,"µg/m³","2025-06-30T01:00:00Z","2025-06-30T06:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",12.136000076929728,"µg/m³","2025-06-30T02:00:00Z","2025-06-30T07:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",10.70620838801066,"µg/m³","2025-06-30T03:00:00Z","2025-06-30T08:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
